Id_Trilha;isolamento_QualItatIvo;NíveCurtoCirtuito_Qualitativo;EspessuraTrlha_Qualitativo;Isolamento_Quantitativo_mm;EspessuraTrlha__Quantitativo_mm;Frequencia_Hz;absz;phasez_DEG;realz;imagz;R_ACurtoVsAIsolamento;R_ATrilhaVsAIsolamento;Area_CURTO;Area_ISOLAMENTO;Area_TRILHA
I1_C3_T5;1;3;5;0,5;1,25;134806;258283;-87,07720897;13169,72;-257946;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;123693;280922;-87,07927162;14313,9;-280555,8;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;113497;305616;-87,11674306;15373,1;-305227,8;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;104141;332402;-87,13679658;16603,86;-331985,2;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;95556;361652;-87,17266374;17838,82;-361209,6;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;87679;393149;-87,17736199;19359,18;-392668,2;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;80451;427505;-87,19581124;20914,22;-426990;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;73819;464870;-87,15662092;23059,6;-464293,2;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;67733;505917;-87,15054757;25148,98;-505285,4;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;62150;549896;-87,14390126;27397,84;-549206,8;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;57026;597768;-87,23041789;28883,66;-597061,4;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;52325;650585;-87,1651007;32173,72;-649772,4;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;48012;706517;-87,10746114;35648,52;-705599,4;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;44054;769890;-87,13152537;38534,66;-768893,6;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;40423;835294;-87,10482554;42188,96;-834205,2;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;37090;908951;-87,15937112;45044,04;-907803,4;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;34033;987373;-87,0632288;50583,68;-986041,4;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;31227;1073722;-87,05188424;55229,1;-1072254;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;28653;1166084;-87,00513088;60928,22;-1164436;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;26291;1270936;-87,04626925;65482,94;-1269160;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;24124;1381366;-87,07377122;70481,42;-1379454;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;22135;1495092;-86,87071498;81631,5;-1492738;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;20310;1625442;-86,97992074;85578,32;-1622976;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;18636;1770554;-86,73091328;100976,58;-1767410;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;17100;1925888;-86,79588669;107549,6;-1922612;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;15690;2094472;-86,70008815;120522,4;-2090526;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;14397;2269738;-86,66101243;132318,6;-2265368;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;13210;2475806;-86,65677254;144403,6;-2470920;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;12121;2684710;-86,59374718;159454,6;-2679094;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;11122;2917918;-86,73595531;166110,2;-2912086;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;10205;3151600;-86,19703121;209262;-3143246;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;9364;3431548;-86,61643631;202573,8;-3424190;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;8592;3753780;-86,42827697;234045,4;-3744432;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;7884;4048446;-86,19634366;268809,2;-4036086;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;7234;4416380;-85,82151467;321114;-4400772;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;6637;4793522;-86,31597724;307298;-4779996;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;6090;5207902;-86,10031593;355357,4;-5188662;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;5588;5678038;-86,07212641;388882,2;-5656084;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;5127;6197328;-86,54023293;371140,2;-6175824;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;4705;6674986;-85,92132392;477572,4;-6642818;0,005765996;1,240999088;9204;1596255;1980951
I1_C3_T5;1;3;5;0,5;1,25;4317;7292258;-85,71906981;538633,6;-7252264;0,005765996;1,240999088;9204;1596255;1980951
